OrderID,CustomerID,CustomerName,Age,City,Product,Category,Quantity,Amount,OrderDate,PaymentMethod,OrderMonth,OrderYear,TotalAmount
O10001,C129,Arjun,24.0,Vijayawada,Mouse,Electronics,1,44622.25,2026-03-04,Cash,3,2026,44622.25
O10002,C165,Anjali,19.0,Nellore,Laptop,Electronics,1,6074.87,2026-03-01,Cash,3,2026,6074.87
O10003,C101,Arjun,45.0,Rajahmundry,Monitor,Electronics,4,35561.31,2026-07-27,Debit Card,7,2026,142245.24
O10004,C114,Priya,42.0,Vijayawada,Keyboard,Electronics,2,57454.18,2026-03-28,Debit Card,3,2026,114908.36
O10005,C159,Pranav,25.0,Tirupati,Webcam,Electronics,5,16238.99,2026-01-12,UPI,1,2026,81194.95
O10006,C147,Anjali,30.0,Vijayawada,Office Chair,Furniture,3,49849.58,2026-06-08,UPI,6,2026,149548.74
O10007,C130,Priya,42.0,Kakinada,Monitor,Electronics,3,59120.68,2026-08-07,Cash,8,2026,177362.04
O10008,C135,Priya,56.0,Guntur,Webcam,Electronics,2,22525.77,2026-02-23,Credit Card,2,2026,45051.54
O10009,C172,Kavya,38.0,Hyderabad,Keyboard,Electronics,4,23077.6,2026-08-25,Credit Card,8,2026,92310.4
O10010,C128,Anjali,38.0,Nellore,Laptop,Electronics,3,24369.3,2026-01-17,Cash,1,2026,73107.9
O10011,C132,Pranav,52.0,Kakinada,Printer,Electronics,4,9000.86,2026-02-05,Cash,2,2026,36003.44
O10012,C166,Vani,23.0,Hyderabad,Desk,Furniture,4,22038.79,2026-02-05,UPI,2,2026,88155.16
O10013,C177,Priya,42.0,Tirupati,Keyboard,Electronics,2,47628.72,2026-04-19,Cash,4,2026,95257.44
O10014,C102,Priya,52.0,Kakinada,Office Chair,Furniture,3,58279.16,2026-08-09,Debit Card,8,2026,174837.48
O10015,C101,Sita,50.0,Guntur,Mouse,Electronics,3,26368.53,2026-04-27,UPI,4,2026,79105.59
O10016,C148,Unknown,52.0,Hyderabad,Headphones,Electronics,5,36733.73,2026-02-09,Debit Card,2,2026,183668.65000000002
O10017,C140,Kavya,21.0,Nellore,Tablet,Electronics,1,7156.13,2026-04-03,UPI,4,2026,7156.13
