OrderID,CustomerID,CustomerName,Age,City,Product,Category,Quantity,Amount,OrderDate,PaymentMethod
O10001,C129,Arjun,24,Vijayawada,Mouse,Electronics,1,44622.25,2026-03-04,Cash
O10002,C165,Anjali,19,Nellore,Laptop,Electronics,1,6074.87,2026-03-01,Cash
O10003,C101,Arjun,45,Rajahmundry,Monitor,Electronics,4,35561.31,2026-07-27,Debit Card
O10004,C114,Priya,42,Vijayawada,Keyboard,Electronics,2,57454.18,2026-03-28,Debit Card
O10005,C159,Pranav,25,Tirupati,Webcam,Electronics,5,16238.99,2026-01-12,UPI
O10006,C147,Anjali,30,Vijayawada,Office Chair,Furniture,3,49849.58,2026-06-08,UPI
O10007,C130,Priya,42,Kakinada,Monitor,Electronics,3,59120.68,2026-08-07,Cash
O10008,C135,Priya,56,Guntur,Webcam,Electronics,2,22525.77,2026-02-23,Credit Card
O10009,C172,Kavya,38,Hyderabad,Keyboard,Electronics,4,23077.6,2026-08-25,Credit Card
O10010,C128,Anjali,38,Nellore,Laptop,Electronics,3,24369.3,2026-01-17,Cash
O10011,C132,Pranav,52,Kakinada,Printer,Electronics,4,9000.86,2026-02-05,Cash
O10012,C166,Vani,23,Hyderabad,Desk,Furniture,4,22038.79,2026-02-05,UPI
O10013,C177,Priya,42,Tirupati,Keyboard,Electronics,2,47628.72,2026-04-19,Cash
O10014,C102,Priya,52,Kakinada,Office Chair,Furniture,3,58279.16,2026-08-09,Debit Card
O10015,C101,Sita,50,Guntur,Mouse,Electronics,3,26368.53,2026-04-27,UPI
O10016,C148,,52,Hyderabad,Headphones,Electronics,5,36733.73,2026-02-09,Debit Card
O10017,C140,Kavya,21,Nellore,Tablet,Electronics,1,7156.13,2026-04-03,UPI
O10018,C169,Arjun,26,Visakhapatnam,Mouse,Electronics,4,49053.38,2026-09-08,Credit Card
O10019,C128,Pranav,30,Kakinada,Headphones,Electronics,5,52409.77,2026-04-19,Cash
O10020,C116,Kavya,32,Vijayawada,Webcam,Electronics,4,54027.04,2026-04-26,Debit Card
O10021,C129,Rahul,22,Hyderabad,Laptop,Electronics,5,33458.33,2026-05-31,Credit Card
O10022,C166,Kavya,35,Visakhapatnam,Mouse,Electronics,1,51648.31,2026-01-19,Credit Card
O10023,C174,Anjali,48,Nellore,Office Chair,Furniture,2,43539.48,2026-08-14,Cash
O10024,C156,Ravi,45,Tirupati,Printer,Electronics,2,6112.38,2026-06-18,Cash
O10025,C144,Priya,33,Nellore,Laptop,Electronics,1,4106.45,2026-07-06,Credit Card
O10026,C136,Vani,150,Vijayawada,Office Chair,Furniture,4,8840.85,2026-02-16,Cash
O10027,C102,Priya,33,Guntur,Office Chair,Furniture,1,3510.01,2026-05-19,Cash
